iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
26;11:00:30;11:00:30;11:00:30;11:00:30;11:00:31;11:00:31;;;11:00:31;11:00:31;11:00:31;11:00:31;11:00:33;11:00:33;11:00:33;11:00:33;11:00:33;11:00:33;;;11:00:34;11:00:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
27;11:00:34;11:00:34;11:00:34;11:00:34;11:00:34;11:00:34;;;11:00:34;11:00:34;11:00:35;11:00:35;11:00:36;11:00:36;11:00:36;11:00:36;11:00:36;11:00:36;;;11:00:37;11:00:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
28;11:00:37;11:00:37;11:00:37;11:00:37;11:00:38;11:00:38;;;11:00:38;11:00:38;11:00:38;11:00:38;11:00:40;11:00:40;11:00:40;11:00:40;11:00:40;11:00:40;;;11:00:40;11:00:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
29;11:00:41;11:00:41;11:00:41;11:00:41;11:00:41;11:00:41;;;11:00:41;11:00:41;11:00:41;11:00:41;11:00:43;11:00:43;11:00:43;11:00:43;11:00:43;11:00:43;;;11:00:44;11:00:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
30;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:44;11:00:46;11:00:46;11:00:46;11:00:46;11:00:46;11:00:46;11:00:46;11:00:46;11:00:56;11:00:56;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:10;00:00:12
31;11:00:56;11:00:56;11:00:57;11:00:57;11:00:57;11:00:57;;;11:00:57;11:00:57;11:00:57;11:00:57;11:00:59;11:00:59;11:00:59;11:00:59;11:00:59;11:00:59;;;11:01:00;11:01:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
32;11:01:00;11:01:00;11:01:00;11:01:00;11:01:00;11:01:00;;;11:01:00;11:01:00;11:01:00;11:01:00;11:01:02;11:01:02;11:01:02;11:01:02;11:01:02;11:01:02;;;11:01:03;11:01:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
33;11:01:03;11:01:03;11:01:03;11:01:03;11:01:03;11:01:03;;;11:01:03;11:01:03;11:01:03;11:01:03;11:01:06;11:01:06;11:01:06;11:01:06;11:01:06;11:01:06;;;11:01:06;11:01:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
34;11:01:06;11:01:06;11:01:06;11:01:06;11:01:06;11:01:06;;;11:01:06;11:01:06;11:01:06;11:01:06;11:01:08;11:01:08;11:01:08;11:01:08;11:01:08;11:01:08;;;11:01:09;11:01:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
35;11:01:09;11:01:09;11:01:09;11:01:09;11:01:09;11:01:09;;;11:01:09;11:01:09;11:01:10;11:01:10;11:01:12;11:01:12;11:01:12;11:01:12;11:01:12;11:01:12;;;11:01:12;11:01:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
